position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00197019	0.999968	3.24115e-05	0.00022548	0.999775
N/A	0.00197029	0.999974	2.63391e-05	0.000551567	0.999448
N/A	0.00197043	0.999953	4.65607e-05	4.98364e-06	0.999995
N/A	0.0019708	0.999974	2.55528e-05	1.23568e-09	1
N/A	0.00197088	0.999956	4.35957e-05	9.16566e-07	0.999999
N/A	0.00197111	0.999964	3.64993e-05	2.92195e-05	0.999971
N/A	0.00197121	0.999964	3.6424e-05	4.79442e-05	0.999952
N/A	0.00197127	0.999969	3.12737e-05	9.96071e-08	1
N/A	0.00197143	0.999966	3.38007e-05	0.000129011	0.999871
N/A	0.00197147	0.999962	3.80792e-05	6.48083e-07	0.999999
N/A	0.00197171	0.999961	3.86645e-05	1.97602e-08	1
N/A	0.00197185	0.999968	3.2388e-05	3.77237e-07	1
N/A	0.00197232	0.999952	4.76349e-05	2.11568e-08	1
N/A	0.00197239	0.999974	2.56931e-05	1.59876e-07	1
N/A	0.00197256	0.999967	3.25026e-05	5.97394e-05	0.99994
N/A	0.00197269	0.999963	3.72308e-05	3.43534e-06	0.999997
N/A	0.00197319	0.999964	3.58281e-05	4.87173e-07	1
N/A	0.0019738	0.999965	3.51362e-05	7.42571e-07	0.999999
N/A	0.00197399	0.999957	4.28725e-05	6.04386e-05	0.99994
N/A	0.00197403	0.999967	3.34452e-05	3.96335e-05	0.99996
N/A	0.00197445	0.99996	4.02466e-05	0.000944503	0.999055
N/A	0.00197507	0.999967	3.2601e-05	0.000197758	0.999802
N/A	0.00197551	0.999965	3.47883e-05	1.87341e-06	0.999998
N/A	0.00197567	0.999971	2.94417e-05	7.24965e-06	0.999993
N/A	0.00197585	0.999975	2.526e-05	0.000220782	0.999779
N/A	0.00197609	0.999976	2.37184e-05	0.000362388	0.999638
N/A	0.00197617	0.999952	4.80064e-05	5.14398e-07	0.999999
N/A	0.00197626	0.999952	4.76029e-05	0.000211679	0.999788
N/A	0.00197632	0.999964	3.62776e-05	0.000741295	0.999259
N/A	0.00197673	0.99997	3.02419e-05	5.19143e-09	1
N/A	0.00197742	0.999964	3.63103e-05	1.48367e-06	0.999999
N/A	0.00197748	0.999963	3.66437e-05	4.35265e-08	1
N/A	0.0019779	0.999945	5.52796e-05	1.94624e-05	0.999981
N/A	0.00197881	0.999967	3.25161e-05	1.9807e-06	0.999998
N/A	0.00197884	0.999957	4.29675e-05	2.6907e-07	1
N/A	0.001979	0.999965	3.52736e-05	1.30966e-06	0.999999
N/A	0.00197904	0.999962	3.77309e-05	1.28103e-08	1
N/A	0.00197915	0.999971	2.93937e-05	2.65332e-05	0.999973
N/A	0.00197927	0.999971	2.93332e-05	0.000237513	0.999762
N/A	0.00197931	0.999971	2.94476e-05	6.29351e-05	0.999937
N/A	0.00197959	0.999962	3.77416e-05	6.52154e-09	1
N/A	0.00197961	0.999953	4.654e-05	0.000195471	0.999805
N/A	0.00197968	0.999963	3.70023e-05	2.27536e-07	1
N/A	0.00197971	0.999959	4.1142e-05	2.15005e-08	1
